LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_UNIQUE_OPERATORS,PERCENT_COMMENTS,Defective
1,3,0,0,0,0.29,2.0,0.5,1,0.0,1,8.79,12.0,1265.83,0.08,0.5,0.22,10,0.0,0
1,5,0,0,0,0.33,2.0,0.33,1,0.0,1,12.09,14.14,2417.96,0.07,0.33,0.27,11,0.0,0
1,5,0,0,0,0.27,2.0,0.33,1,0.0,2,14.67,14.67,3156.61,0.07,0.33,0.23,12,0.0,0
1,3,0,0,0,0.29,2.0,0.5,1,0.0,1,8.79,12.0,1265.83,0.08,0.5,0.22,10,0.0,0
1,5,0,0,0,0.33,2.0,0.33,1,0.0,1,12.09,14.14,2417.96,0.07,0.33,0.27,11,0.0,0
1,5,0,0,0,0.27,2.0,0.33,1,0.0,2,14.67,14.67,3156.61,0.07,0.33,0.23,12,0.0,0
40,11,4,25,13,0.08,2.0,0.67,5,0.8,1,71.01,24.77,43561.75,0.04,0.83,0.04,25,44.19,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
2,3,2,0,2,0.29,2.0,1.0,1,0.0,0,16.52,6.19,632.28,0.16,0.5,0.17,9,22.22,0
8,7,0,2,14,0.24,2.5,0.25,3,0.67,0,17.03,14.68,3670.2,0.07,0.75,0.17,17,51.61,0
2,3,0,0,8,0.22,2.0,0.5,1,0.0,0,11.86,4.38,227.03,0.23,0.5,0.22,7,47.06,0
4,3,0,0,10,0.25,2.0,0.5,1,0.0,0,11.07,4.38,211.89,0.23,0.5,0.18,7,55.56,0
3,3,0,0,5,0.25,2.0,0.5,1,0.0,0,17.16,6.19,657.1,0.16,0.5,0.12,11,38.46,0
4,3,0,0,10,0.25,2.0,0.5,1,0.0,0,11.07,4.38,211.89,0.23,0.5,0.18,7,55.56,0
3,3,2,0,2,0.22,2.0,1.0,1,0.0,0,19.71,5.5,596.3,0.18,0.5,0.13,9,18.18,0
13,5,3,4,19,0.18,2.0,0.67,1,0.0,0,22.53,13.93,4371.1,0.07,0.33,0.06,13,63.89,0
9,17,4,0,0,0.38,2.0,0.89,1,0.0,0,30.54,11.65,4143.37,0.09,0.11,0.26,11,0.0,0
16,7,3,0,15,0.16,2.0,0.75,1,0.0,0,21.39,22.46,10795.37,0.04,0.25,0.07,17,37.5,0
82,43,12,6,100,0.13,2.06,0.74,15,0.64,5,140.31,37.2,194194.61,0.03,0.65,0.06,38,37.59,0
22,7,4,9,31,0.1,2.0,0.75,1,0.0,6,45.51,16.36,12184.85,0.06,0.25,0.04,20,55.56,0
9,3,5,0,12,0.11,2.0,1.0,1,0.0,1,35.45,10.29,3750.81,0.1,0.5,0.05,16,40.0,0
12,5,1,3,4,0.18,2.0,0.67,3,1.0,0,15.83,13.82,3022.38,0.07,1.0,0.09,16,33.33,0
14,7,4,4,21,0.12,2.5,0.75,3,0.67,2,39.73,19.35,14882.34,0.05,0.75,0.04,24,46.3,0
38,35,4,5,70,0.17,2.42,0.39,13,0.71,2,58.36,41.38,99929.77,0.02,0.72,0.08,32,41.9,0
39,23,10,4,58,0.17,2.22,0.58,5,0.36,5,52.05,21.71,24543.69,0.05,0.42,0.07,24,47.69,0
19,7,3,4,16,0.16,2.0,1.0,1,0.0,0,31.79,17.86,10140.57,0.06,0.25,0.05,19,48.78,0
25,15,7,6,39,0.1,2.0,0.88,1,0.0,6,90.85,21.94,43721.41,0.05,0.13,0.06,26,38.79,1
27,3,2,1,19,0.09,2.0,1.0,1,0.0,1,37.27,15.43,8872.37,0.06,0.5,0.03,12,47.62,1
1,3,1,0,0,0.2,2.0,1.0,1,0.0,0,10.75,7.0,526.99,0.14,0.5,0.17,8,0.0,0
34,17,9,5,26,0.13,2.14,0.78,4,0.38,5,76.03,28.98,63864.99,0.03,0.44,0.07,26,31.96,0
9,9,1,0,17,0.23,3.0,0.6,5,1.0,2,35.13,12.55,5531.32,0.08,1.0,0.1,17,43.59,1
32,13,13,16,23,0.09,2.0,1.0,1,0.0,9,104.75,22.14,51324.87,0.05,0.14,0.05,26,39.8,1
13,5,2,9,7,0.11,2.0,1.0,1,0.0,0,37.6,9.75,3574.45,0.1,0.33,0.06,13,45.71,0
3,3,2,0,0,0.11,2.0,0.5,1,0.0,2,24.71,10.58,2764.2,0.09,0.5,0.09,11,0.0,0
6,3,1,1,6,0.18,2.0,0.5,1,0.0,1,16.21,5.4,472.87,0.19,0.5,0.08,9,41.18,0
3,3,0,0,0,0.13,2.0,0.5,1,0.0,2,18.54,9.63,1717.22,0.1,0.5,0.11,11,0.0,0
30,32,19,4,62,0.26,4.0,0.79,9,0.35,3,54.69,47.6,123914.45,0.02,0.38,0.13,34,42.58,1
6,3,3,4,15,0.14,2.0,1.0,1,0.0,3,16.21,10.56,1809.36,0.09,0.5,0.06,13,65.51,0
13,7,3,3,24,0.11,2.0,1.0,1,0.0,1,34.91,18.57,12037.08,0.05,0.25,0.05,19,45.76,1
31,21,5,7,28,0.14,2.43,0.82,11,1.0,1,61.92,36.74,83581.43,0.03,1.0,0.08,32,32.11,1
12,11,5,1,16,0.13,2.0,1.0,1,0.0,3,46.89,18.91,16764.79,0.05,0.17,0.08,24,27.87,0
0,3,0,0,0,0.13,2.0,0.5,1,0.0,2,42.88,6.87,2026.77,0.15,0.5,0.13,11,0.0,0
51,35,10,9,73,0.16,2.21,0.56,9,0.47,1,51.85,64.92,218524.86,0.02,0.5,0.07,37,43.39,1
2,3,1,2,0,0.14,2.0,1.0,1,0.0,2,20.76,2.5,129.72,0.4,0.5,0.12,5,14.29,0
4,5,1,4,0,0.14,2.0,1.0,1,0.0,2,34.27,2.78,264.4,0.36,0.33,0.12,5,19.05,0
0,7,0,0,0,0.24,2.0,0.25,3,0.67,2,10.6,10.13,1086.54,0.1,0.75,0.22,9,0.0,0
3,11,0,0,0,0.4,2.67,0.17,4,0.6,2,7.45,30.8,7065.15,0.03,0.67,0.32,14,0.0,0
3,3,0,0,0,0.14,2.0,0.5,1,0.0,2,11.85,9.0,959.45,0.11,0.5,0.11,9,0.0,0
2,3,0,0,0,0.2,2.0,0.5,1,0.0,1,6.92,8.0,442.81,0.13,0.5,0.15,8,0.0,0
25,25,6,6,15,0.17,2.33,0.69,7,0.5,1,80.81,26.6,57176.91,0.04,0.54,0.11,22,23.08,0
5,7,3,3,2,0.15,2.0,1.0,1,0.0,2,26.32,16.0,6737.71,0.06,0.25,0.11,16,17.24,0
15,5,1,7,9,0.16,2.0,0.67,1,0.0,1,28.99,18.12,9514.39,0.06,0.33,0.07,14,57.14,0
6,3,0,2,2,0.18,2.0,0.5,1,0.0,1,13.77,13.5,2508.88,0.07,0.5,0.1,12,30.77,0
5,3,0,2,2,0.18,2.0,0.5,1,0.0,2,13.64,17.06,3972.03,0.06,0.5,0.11,13,30.77,0
10,13,0,15,2,0.3,2.2,0.14,1,0.0,4,21.3,16.32,5681.26,0.06,0.14,0.19,14,68.0,0
14,5,4,1,9,0.15,2.0,1.0,1,0.0,1,35.6,10.11,3640.0,0.1,0.33,0.07,14,34.48,0
35,31,9,28,17,0.15,2.36,0.69,10,0.6,5,108.35,33.87,124313.16,0.03,0.63,0.1,32,37.19,0
6,5,1,7,2,0.2,2.0,0.67,1,0.0,0,17.71,10.67,2014.61,0.09,0.33,0.13,12,52.94,0
17,9,4,8,19,0.14,2.0,0.8,1,0.0,0,42.9,20.7,18381.79,0.05,0.2,0.07,23,50.0,0
16,5,1,10,7,0.1,2.0,0.67,1,0.0,1,37.71,30.2,34384.39,0.03,0.33,0.06,19,45.95,0
11,11,1,14,5,0.15,2.0,0.33,1,0.0,1,48.56,33.51,54539.1,0.03,0.17,0.1,20,41.3,0
81,162,8,80,165,0.19,2.1,0.66,27,0.27,3,131.72,126.56,2109679.46,0.01,0.28,0.13,72,36.68,0
20,7,2,2,2,0.33,2.0,0.75,1,0.0,1,19.23,5.69,622.17,0.18,0.25,0.11,7,28.57,0
115,31,3,35,12,0.19,2.0,0.19,10,0.6,1,83.81,31.06,80843.05,0.03,0.63,0.08,24,48.96,0
156,63,5,53,27,0.23,2.15,0.31,12,0.35,1,78.34,51.47,207526.23,0.02,0.38,0.1,32,48.48,0
48,57,11,61,32,0.13,2.12,0.76,27,0.93,3,204.29,41.72,355647.88,0.02,0.93,0.09,31,36.05,0
17,21,5,6,8,0.16,2.11,0.91,7,0.6,3,87.92,17.2,26010.73,0.06,0.64,0.12,18,18.67,0
74,23,10,30,18,0.13,2.1,0.83,3,0.18,3,85.71,38.23,125251.55,0.03,0.25,0.06,29,43.24,0
33,5,4,8,4,0.13,2.0,1.0,1,0.0,3,28.18,15.16,6475.08,0.07,0.33,0.05,18,42.86,0
4,7,1,3,0,0.18,2.0,1.0,1,0.0,2,40.01,18.29,13377.17,0.05,0.25,0.15,16,13.64,0
4,11,1,3,0,0.21,2.0,1.0,1,0.0,2,42.36,23.73,23858.84,0.04,0.17,0.18,16,10.71,0
1,9,1,1,0,0.14,2.0,1.0,1,0.0,1,110.24,10.11,11259.34,0.1,0.2,0.13,10,2.78,0
5,9,1,2,0,0.19,2.0,0.8,1,0.0,1,27.4,20.16,11135.5,0.05,0.2,0.15,21,7.41,0
2,9,2,1,0,0.16,2.0,1.0,1,0.0,1,78.0,13.61,14437.64,0.07,0.2,0.15,11,3.23,0
1,3,1,1,0,0.11,2.0,1.0,1,0.0,1,54.5,9.27,4686.53,0.11,0.5,0.1,8,5.56,0
1,7,1,1,0,0.25,2.0,1.0,1,0.0,1,20.45,13.07,3491.27,0.08,0.25,0.22,14,6.25,0
1,16,1,1,0,0.26,2.0,1.0,1,0.0,1,35.91,21.53,16649.11,0.05,0.08,0.25,26,2.0,0
1,18,1,1,0,0.26,2.0,1.0,1,0.0,1,36.57,23.03,19394.56,0.04,0.07,0.25,27,1.89,0
4,13,2,1,0,0.16,2.0,1.0,1,0.0,1,160.8,10.16,16586.02,0.1,0.14,0.15,10,2.33,0
16,25,5,5,8,0.19,2.33,0.77,9,0.67,3,84.92,18.79,29993.03,0.05,0.69,0.14,19,17.33,0
40,25,10,30,19,0.14,2.09,0.77,3,0.17,3,83.84,41.66,145477.36,0.02,0.23,0.08,31,42.98,0
77,33,9,25,15,0.17,2.07,0.65,9,0.5,3,88.15,36.04,114516.56,0.03,0.53,0.08,31,34.78,0
4,3,1,4,0,0.14,2.0,0.5,1,0.0,0,23.58,12.5,3685.04,0.08,0.5,0.11,15,28.57,0
4,3,1,2,6,0.25,2.0,1.0,1,0.0,0,17.91,6.29,707.7,0.16,0.5,0.11,11,57.14,0
4,3,1,2,6,0.25,2.0,1.0,1,0.0,0,17.91,6.29,707.7,0.16,0.5,0.11,11,57.14,0
7,3,1,0,7,0.13,2.0,0.5,1,0.0,1,17.24,10.64,1950.69,0.09,0.5,0.07,13,31.82,0
3,3,1,2,5,0.18,2.0,0.5,1,0.0,1,17.13,10.0,1713.0,0.1,0.5,0.1,12,43.75,0
27,13,4,4,33,0.24,3.0,0.4,4,0.33,3,32.0,26.1,21802.25,0.04,0.4,0.1,29,49.33,0
6,11,0,2,2,0.38,2.67,0.17,5,0.8,2,15.76,17.6,4880.94,0.06,0.83,0.24,16,22.22,0
20,21,2,7,14,0.24,2.2,0.15,3,0.17,2,30.99,27.86,24047.21,0.04,0.23,0.15,26,30.88,0
4,3,0,0,1,0.18,2.0,0.5,1,0.0,2,20.51,6.11,765.94,0.16,0.5,0.12,11,8.33,0
5,3,0,0,2,0.18,2.0,0.5,1,0.0,2,19.8,6.11,739.53,0.16,0.5,0.11,11,15.38,0
3,3,1,1,2,0.17,2.0,0.5,1,0.0,1,14.83,9.63,1373.5,0.1,0.5,0.11,14,21.43,0
7,7,1,3,7,0.17,2.0,1.0,4,1.0,1,46.9,10.5,5170.32,0.1,1.0,0.1,15,32.25,0
12,5,3,2,22,0.14,2.0,0.33,1,0.0,2,45.57,9.64,4237.49,0.1,0.33,0.05,15,55.81,1
7,7,1,1,5,0.17,2.0,1.0,4,1.0,1,46.9,10.5,5170.32,0.1,1.0,0.11,15,20.69,0
14,5,1,3,34,0.14,2.0,1.0,1,0.0,2,31.39,9.47,2815.15,0.11,0.33,0.04,14,67.27,1
10,5,2,3,11,0.12,2.0,1.0,1,0.0,2,39.66,11.08,4871.43,0.09,0.33,0.06,19,38.89,1
8,5,2,2,19,0.14,2.0,1.0,1,0.0,1,31.51,10.5,3474.19,0.1,0.33,0.06,18,51.22,1
0,5,2,2,0,0.2,2.0,1.0,1,0.0,2,22.4,7.33,1204.38,0.14,0.33,0.19,11,13.33,1
0,5,2,0,0,0.23,2.0,1.0,1,0.0,1,33.1,7.26,1746.71,0.14,0.33,0.21,13,0.0,0
0,5,2,0,0,0.14,2.0,1.0,1,0.0,1,34.57,10.93,4129.37,0.09,0.33,0.14,17,0.0,0
10,15,6,2,31,0.17,2.17,0.88,4,0.43,1,74.36,13.06,12685.78,0.08,0.5,0.09,20,42.86,1
4,35,5,4,18,0.19,2.13,0.89,7,0.35,2,195.05,21.41,89412.4,0.05,0.39,0.15,22,19.47,1
0,5,2,0,0,0.14,2.0,1.0,1,0.0,1,36.48,10.43,3969.82,0.1,0.33,0.14,17,0.0,0
0,7,3,0,0,0.18,2.5,0.75,4,1.0,1,41.71,12.75,6780.12,0.08,1.0,0.17,17,0.0,0
2,15,2,1,9,0.19,2.4,0.75,6,0.71,4,75.22,14.8,16481.41,0.07,0.75,0.15,19,19.61,0
2,5,2,2,13,0.06,2.0,1.0,1,0.0,1,55.85,28.0,43785.9,0.04,0.33,0.05,23,24.19,1
5,7,1,0,0,0.18,2.5,0.5,3,0.67,0,21.05,14.77,4591.91,0.07,0.75,0.14,16,0.0,0
4,7,2,1,7,0.16,2.5,0.75,3,0.67,1,30.72,19.13,11241.58,0.05,0.75,0.11,22,25.0,1
35,21,9,9,59,0.12,2.25,0.91,3,0.2,3,70.59,44.71,141084.24,0.02,0.27,0.06,32,45.33,1
4,3,2,1,12,0.18,2.0,0.5,1,0.0,1,23.14,6.5,977.69,0.15,0.5,0.07,13,56.52,1
0,11,3,2,7,0.2,2.25,0.83,5,0.8,1,33.22,15.91,8407.11,0.06,0.83,0.16,20,24.32,1
14,9,2,5,1,0.15,2.0,1.0,4,0.75,2,18.72,21.54,8684.58,0.05,0.8,0.1,16,17.65,0
5,3,1,0,0,0.2,2.0,1.0,1,0.0,1,10.42,6.75,474.58,0.15,0.5,0.13,9,0.0,0
12,19,2,0,0,0.2,2.0,0.9,10,1.0,2,65.44,11.21,8218.63,0.09,1.0,0.16,13,0.0,0
8,19,6,1,0,0.33,2.29,0.8,10,1.0,2,31.33,20.43,13084.38,0.05,1.0,0.26,20,3.33,0
12,19,2,0,0,0.2,2.0,0.9,10,1.0,2,74.62,10.16,7697.18,0.1,1.0,0.16,13,0.0,0
7,5,1,2,0,0.13,2.0,0.67,1,0.0,2,55.95,7.24,2931.85,0.14,0.33,0.09,9,8.33,0
5,11,3,2,3,0.3,2.25,0.83,4,0.6,1,26.39,12.07,3845.69,0.08,0.67,0.21,13,21.74,0
3,5,1,0,0,0.25,2.0,0.67,1,0.0,2,15.22,12.0,2191.93,0.08,0.33,0.19,12,0.0,0
17,21,4,1,8,0.26,2.25,0.45,7,0.6,5,42.16,35.93,54431.16,0.03,0.64,0.16,33,18.0,0
16,13,6,0,5,0.12,2.0,0.86,1,0.0,4,95.6,31.4,94278.09,0.03,0.14,0.09,26,7.81,0
11,9,6,0,4,0.12,2.0,1.0,1,0.0,1,66.6,18.54,22884.16,0.05,0.2,0.09,19,8.7,0
1,3,0,0,0,0.22,2.0,0.5,1,0.0,2,14.83,3.5,181.62,0.29,0.5,0.18,7,0.0,0
10,13,6,1,16,0.18,2.0,0.71,1,0.0,5,29.5,36.25,38771.24,0.03,0.14,0.1,29,30.36,0
